synset,word,Source,
453,grate,Romance,
454,seedy,Germanic,
454,sordid,Romance,
455,seek,Germanic,
455,essay,Romance,
456,selection,Romance,
456,option,Romance,
457,senseless,Romance,less- Germanic
457,superfluous,Romance,
458,sentence,Romance,
458,doom,Germanic,
459,shred,Germanic,
459,iota,Greek,
459,tittle,Romance,
460,shroud,Germanic,
460,hide,Germanic,
460,cover,Romance,
461,singer,Germanic,
461,vocalist,Romance,
462,sink,Germanic,
462,pass,Romance,
462,lapse,Romance,
463,sketch,Romance,
463,outline,Germanic,
464,slender,Germanic,
464,slight,Germanic,
464,slim,Germanic,
465,slim,Germanic,
465,thin,Germanic,
466,slip,Germanic,
466,slew,Celtic,
466,slide,Germanic,
467,smasher,Germanic,
467,stunner,Germanic,
467,peach,Romance,
468,smother,Germanic,
468,stifle,Germanic,
468,strangle,Romance,
469,smother,Germanic,
469,suffocate,Romance,
470,soar,Romance,
470,surge,Romance,
471,soma,Romance,
471,physique,Romance,
471,anatomy,Romance,
471,chassis,Romance,
471,flesh,Germanic,
472,soot,Germanic,
472,crock,Germanic,
473,soothe,Germanic,
473,solace,Romance,
474,sophistry,Romance,
474,sophistication,Romance,
475,spend,Germanic,
475,pass,Romance,
476,spiteful,Romance,
476,vindictive,Romance,
477,spook,Germanic,
477,specter,Romance,
478,stag,Germanic,
478,snoop,Germanic,
479,stagger,Germanic,
479,keel,Germanic,
480,steep,Germanic,
480,immerse,Romance,
481,stimulate,Romance,
481,excite,Romance,
482,stir,Germanic,
482,shift,Germanic,
482,budge,Romance,
482,agitate,Romance,
483,stomach,Romance,
483,belly,Germanic,
484,strangle,Romance,
484,throttle,Germanic,
485,substance,Romance,
485,gist,Romance,
485,heart,Germanic,
486,supervision,Romance,
486,oversight,Germanic,
487,supplant,Romance,
487,supersede,Romance,
488,suppress,Romance,
488,inhibit,Romance,
488,conquer,Romance,
488,curb,Romance,
489,swear,Germanic,
489,rely,Romance,
490,swerve,Germanic,
490,curve,Romance,
490,slew,Celtic,
491,symbiosis,Greek,
491,mutualism,Romance,
492,tailor,Romance,
492,orient,Romance,
493,tamper,Romance,
493,fiddle,Germanic,
493,monkey,Germanic,
494,tarnish,Germanic,
494,stain,Germanic,
495,tease,Germanic,
495,badger,Romance,
496,tease,Germanic,
496,rag,Germanic,
496,bait,Germanic,
497,terminal,Romance,
497,terminus,Romance,
497,depot,Romance,
498,testify,Romance,
498,attest,Romance,
499,threesome,Germanic,
499,triad,Romance,
499,trinity,Romance,
500,thresh,Germanic,
500,flail,Germanic,
501,thumb,Germanic,
501,leaf,Germanic,
502,thwart,Germanic,
502,spoil,Romance,
502,foil,Romance,
502,cross,Romance,
502,frustrate,Romance,
503,tie,Germanic,
503,bind,Germanic,
